NET,Predicted PSNR,Valid PSNR (25 epoch),Params,FLOPs,error %,model
"[4, 7, 6, 7, 7, 3, 6, 7, 3, 3, 1, 0, 4, 7, 5, 1, 7, 5, 7, 7, 5, 6, 1, 0, 0, 1, 4, 4]",-31.01106855,33.65936661,3088,13565952,7.867937893,0
"[4, 7, 6, 7, 7, 3, 6, 7, 3, 3, 1, 0, 4, 7, 5, 1, 7, 5, 6, 7, 5, 1, 1, 0, 0, 1, 4, 4]",-30.79248099,33.40761566,3088,13565952,7.827959638,1
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 4, 2, 0, 5, 4, 6, 2, 7, 2, 7, 7, 5, 6, 2, 0, 0, 1, 4, 5]",-32.4893383,34.22874069,7200,30215168,5.081701386,2
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 4, 2, 0, 5, 4, 6, 2, 7, 2, 7, 7, 5, 6, 2, 0, 0, 1, 4, 5]",-32.4893383,34.51096725,7200,30215168,5.857931872,3
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 4, 2, 0, 5, 4, 6, 2, 7, 5, 6, 7, 5, 6, 2, 0, 1, 0, 4, 5]",-33.0613274,34.26384354,7472,31363072,3.50957749,4
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 4, 2, 0, 5, 4, 6, 2, 7, 5, 7, 7, 5, 6, 2, 0, 1, 0, 4, 5]",-33.1235906,34.46951294,7472,31363072,3.904674668,5
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 3, 2, 0, 5, 4, 6, 2, 7, 5, 7, 7, 5, 6, 2, 0, 1, 1, 4, 5]",-33.3478149,34.12910461,8768,36474880,2.289218305,6
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 3, 2, 0, 5, 4, 6, 2, 6, 4, 7, 7, 5, 6, 2, 0, 1, 1, 4, 5]",-33.36884135,34.56409836,9856,40800256,3.458088209,7
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 3, 2, 0, 5, 4, 6, 2, 7, 5, 6, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.398227,33.47865677,12864,53252096,0.240241927,8
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 3, 2, 0, 5, 4, 6, 2, 6, 4, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.47749583,33.35803604,13952,57577472,0.358113978,9
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 3, 2, 0, 5, 4, 6, 2, 6, 4, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.47749583,34.0531311,13952,57577472,1.690403353,10
"[4, 7, 6, 7, 4, 3, 4, 3, 0, 3, 2, 0, 5, 4, 6, 2, 6, 5, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.53886435,34.01841354,21504,88641536,1.40967535,11
"[4, 7, 6, 7, 4, 3, 4, 3, 0, 3, 2, 0, 5, 4, 6, 2, 6, 5, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.53886435,34.74253464,21504,88641536,3.464543685,12
"[4, 7, 6, 7, 4, 3, 4, 3, 1, 3, 2, 0, 5, 4, 6, 2, 6, 5, 6, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.56754944,34.04112244,27376,112726016,1.391179156,13
"[4, 7, 6, 7, 4, 3, 4, 3, 1, 3, 2, 0, 5, 4, 6, 2, 6, 5, 6, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.56754944,34.17080307,27376,112726016,1.765406651,14
"[4, 7, 6, 7, 4, 3, 4, 3, 1, 3, 2, 0, 5, 4, 6, 2, 6, 5, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.64239816,34.19468307,29696,122195968,1.615119254,15
"[4, 7, 6, 7, 4, 3, 4, 3, 1, 3, 2, 0, 5, 4, 6, 2, 6, 5, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.64239816,34.34741592,29696,122195968,2.052607863,16
"[4, 7, 6, 7, 4, 3, 4, 3, 1, 3, 2, 0, 5, 4, 6, 2, 6, 5, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.64239816,33.92165375,29696,122195968,0.823236957,17
"[5, 7, 6, 7, 4, 3, 4, 3, 1, 3, 2, 0, 5, 3, 6, 2, 6, 5, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.83783481,35.35825348,180704,741031936,4.300038945,18
"[5, 7, 6, 7, 4, 3, 4, 3, 1, 3, 2, 0, 5, 3, 6, 2, 6, 5, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",-33.83783481,35.35825348,180704,741031936,4.300038945,19
